ROLE|TDTYPE
TECHNICAL|TEST
TECHNICAL|ARCHITECTURE
TECHNICAL|DESIGN
ARCHITECT|TEST
TECHNICAL|INFRASTRUCTURE
TECHNICAL|ARCHITECTURE
TECHNICAL|DESIGN
TECHNICAL|TEST
TECHNICAL|CODE
MANAGEMENT|TEST
MANAGEMENT|AUTOMATED TEST
TECHNICAL|-
TECHNICAL|ARCHITECTURE
TECHNICAL|DOCUMENTATION
MANAGEMENT|DESIGN
TECHNICAL|DESIGN
TECHNICAL|USABILITY
TECHNICAL|CODE
TECHNICAL|TEST
MANAGEMENT|DESIGN
TECHNICAL|INFRASTRUCTURE
TECHNICAL|CODE
MANAGEMENT|ARCHITECTURE
ARCHITECT|DOCUMENTATION
MANAGEMENT|TEST
TECHNICAL|ARCHITECTURE
MANAGEMENT|TEST
TECHNICAL|DOCUMENTATION
TECHNICAL|DESIGN
ARCHITECT|ARCHITECTURE
TECHNICAL|CODE
TECHNICAL|ARCHITECTURE
TECHNICAL|DOCUMENTATION
TECHNICAL|CODE
ARCHITECT|TEST
ARCHITECT|CODE
TECHNICAL|TEST
TECHNICAL|REQUIREMENTS
ARCHITECT|TEST
TECHNICAL|AUTOMATION TEST
TECHNICAL|ARCHITECTURE
TECHNICAL|DESIGN
TECHNICAL|DESIGN
MANAGEMENT|CODE
ARCHITECT|TEST
TECHNICAL|TEST
TECHNICAL|CODE
TECHNICAL|DESIGN
TECHNICAL|DEFECT
ARCHITECT|DESIGN
TECHNICAL|ARCHITECTURE
TECHNICAL|PROCESS
TECHNICAL|INFRASTRUCTURE
TECHNICAL|TEST
TECHNICAL|DESIGN
TECHNICAL|CODE
TECHNICAL|DESIGN
TECHNICAL|INFRASTRUCTURE
MANAGEMENT|TEST
TECHNICAL|DESIGN
TECHNICAL|TEST
TECHNICAL|DESIGN
TECHNICAL|DESIGN
TECHNICAL|TECHNICAL DEBT
MANAGEMENT|DESIGN
MANAGEMENT|REQUIREMENTS
ARCHITECT|DOCUMENTATION
TECHNICAL|INFRASTRUCTURE
TECHNICAL|ARCHITECTURE
MANAGEMENT|INFRASTRUCTURE
TECHNICAL|CODE
TECHNICAL|DOCUMENTATION
