ROLES,CAUSE
ARCHITECT,DEADLINE
ARCHITECT,INAPPROPRIATE PLANNING
ARCHITECT,PRODUCING MORE WITHOUT QUALITY
ARCHITECT,NOT EFFECTIVE PROJECT MANAGEMENT
ARCHITECT,NON-ADOPTION OF GOOD PRACTICES
ARCHITECT,LACK OF QUALIFIED PROFESSIONALS
ARCHITECT,LACK OF EXPERIENCE
ARCHITECT,PRESSURE
ARCHITECT,INACCURATE TIME ESTIMATE
ARCHITECT,INAPPROPRIATE / POORLY PLANNED / POORLY EXECUTED TEST
ARCHITECT,TEAM OVERLOAD
ARCHITECT,COST
ARCHITECT,CHANGE OF REQUIREMENTS
ARCHITECT,BAD DESIGN
ARCHITECT,LACK OF A WELL-DEFINED PROCESS
ARCHITECT,LACK OF KNOWLEDGE ON DEVELOPMENT TOOLS
ARCHITECT,INACCURATE OR COMPLEX REQUIREMENT
ARCHITECT,POOR SCOPE DEFINITION
ARCHITECT,MANAGER'S LACK OF AWARENESS OF CUSTOMER NEEDS
ARCHITECT,OUTDATED / INCOMPLETE DOCUMENTATION
ARCHITECT,LACK OF TECHNICAL KNOWLEDGE
ARCHITECT,ADOPTION OF CONTOUR SOLUTIONS AS DEFINITIVE
ARCHITECT,LACK OF PERCEPTION OF THE IMPORTANCE OF TESTING AND REFACTORING
ARCHITECT,INADEQUATE CHOICE OF TECHNOLOGY / TOOL / PLATFORM
ARCHITECT,HIGH TURNOVER OF THE TEAM
ARCHITECT,CUSTOMER DOES NOT KNOW HIS OWN NEEDS
ARCHITECT,POOR TECHNICAL LEADERSHIP
ARCHITECT,DISCONTINUED COMPONENT
ARCHITECT,REQUIREMENTS ELICITATION ISSUES
ARCHITECT,LACK OF CODE REVIEW
ARCHITECT,POOR ALLOCATION OF RESOURCES
ARCHITECT,LACK OF PAIR PROGRAMMING
ARCHITECT,POOR TECHNICAL MANAGEMENT
ARCHITECT,EXTERNAL COMPONENT DEPENDENCY
ARCHITECT,LACK OF COMMITMENT
ARCHITECT,NON-COMPLIANCE WITH NON-FUNCTIONAL REQUIREMENTS
ARCHITECT,EXTERNAL COMPONENT DEPENDENCY (LEGACY)
ARCHITECT,LACK OF REQUIREMENTS ANALYSIS
ARCHITECT,TEST NOT PERFORMED
ARCHITECT,LACK OF SPECIFIC TEAM
ARCHITECT,BAD TECHNICAL LEADERSHIP
ARCHITECT,LEGACY SYSTEM
ARCHITECT,SLOPPY CODE
ARCHITECT,CUSTOMER DOES NOT LISTEN TO PROJECT TEAM
ARCHITECT,DEADLINE
ARCHITECT,STRUCTURAL CHANGE IN THE COMPANIES INVOLVED
ARCHITECT,LACK OF REFACTORING
