ROLES,TDTYPE,FREQ
ARCHITECT,DESIGN DEBT,17
ARCHITECT,TEST DEBT,16
ARCHITECT,CODE DEBT,15
ARCHITECT,REQUIREMENT DEBT,10
ARCHITECT,ARCHITECTURE DEBT,7
ARCHITECT,INFRASTRUCTURE DEBT,5
ARCHITECT,DOCUMENTATION DEBT,3
ARCHITECT,PROCESS DEBT,3
ARCHITECT,NOT APPLICABLE,1
ARCHITECT,PEOPLE DEBT,1
TECHNICAL,DESIGN DEBT,66
TECHNICAL,TEST DEBT,50
TECHNICAL,CODE DEBT,42
TECHNICAL,REQUIREMENT DEBT,25
TECHNICAL,DOCUMENTATION DEBT,25
TECHNICAL,ARCHITECTURE DEBT,18
TECHNICAL,INFRASTRUCTURE DEBT,10
TECHNICAL,PROCESS DEBT,7
TECHNICAL,PEOPLE DEBT,4
TECHNICAL,AUTOMATION TEST,4
TECHNICAL,NOT APPLICABLE,3
TECHNICAL,SERVICE DEBT,3
TECHNICAL,DEFECT DEBT,2
TECHNICAL,USABILITY DEBT,2
TECHNICAL,VERSIONING DEBT,2
TECHNICAL,BUILD DEBT,2
MANAGEMENT,DESIGN DEBT,22
MANAGEMENT,TEST DEBT,20
MANAGEMENT,CODE DEBT,13
MANAGEMENT,REQUIREMENT DEBT,12
MANAGEMENT,DOCUMENTATION DEBT,10
MANAGEMENT,ARCHITECTURE DEBT,6
MANAGEMENT,PROCESS DEBT,5
MANAGEMENT,NOT APPLICABLE,4
MANAGEMENT,INFRASTRUCTURE DEBT,2
MANAGEMENT,SERVICE DEBT,2
MANAGEMENT,AUTOMATION TEST,1
MANAGEMENT,DEFECT DEBT,1
